Source,Target,Type,Label,Weight,Domain,SourceLayer,MappingStatus,RelationshipType,ArtifactType,Purpose,DecisionType,RuleId
assessment_unit:apwh-historical-thinking-and-comparison,capability:Q5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apwh-historical-thinking-and-comparison,capability:Q6,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apwh-historical-thinking-and-comparison,capability:H4,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apwh-historical-thinking-and-comparison,capability:H5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apwh-historical-thinking-and-comparison,capability:H6,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apwh-historical-thinking-and-comparison,capability:A1,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apwh-historical-thinking-and-comparison,capability:A2,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
overlay:ap-world-history-modern-overlay,assessment_unit:apwh-global-processes-and-periodization,Directed,HAS_ASSESSMENT_UNIT,1,social_studies,assessment_overlay,covered,assessment_unit,,,,
assessment_unit:apwh-global-processes-and-periodization,capability:H2,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apwh-global-processes-and-periodization,capability:H3,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apwh-global-processes-and-periodization,capability:H5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apwh-global-processes-and-periodization,capability:G5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apwh-global-processes-and-periodization,capability:G6,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
overlay:ap-world-history-modern-overlay,assessment_unit:apwh-state-building-economy-and-exchange,Directed,HAS_ASSESSMENT_UNIT,1,social_studies,assessment_overlay,partially_covered,assessment_unit,,,,
assessment_unit:apwh-state-building-economy-and-exchange,capability:C4,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apwh-state-building-economy-and-exchange,capability:C5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apwh-state-building-economy-and-exchange,capability:E3,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apwh-state-building-economy-and-exchange,capability:E4,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apwh-state-building-economy-and-exchange,capability:E5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apwh-state-building-economy-and-exchange,capability:H3,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apwh-state-building-economy-and-exchange,capability:H5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
overlay:ap-world-history-modern-overlay,assessment_unit:apwh-geography-migration-and-human-systems,Directed,HAS_ASSESSMENT_UNIT,1,social_studies,assessment_overlay,covered,assessment_unit,,,,
assessment_unit:apwh-geography-migration-and-human-systems,capability:G2,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apwh-geography-migration-and-human-systems,capability:G3,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apwh-geography-migration-and-human-systems,capability:G4,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apwh-geography-migration-and-human-systems,capability:G5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apwh-geography-migration-and-human-systems,capability:G6,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apwh-geography-migration-and-human-systems,capability:H3,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
overlay:ap-united-states-government-and-politics-overlay,assessment_unit:apusgov-foundations-and-constitutional-principles,Directed,HAS_ASSESSMENT_UNIT,1,social_studies,assessment_overlay,covered,assessment_unit,,,,
assessment_unit:apusgov-foundations-and-constitutional-principles,capability:C2,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-foundations-and-constitutional-principles,capability:C3,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-foundations-and-constitutional-principles,capability:C4,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-foundations-and-constitutional-principles,capability:C5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-foundations-and-constitutional-principles,capability:C6,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
overlay:ap-united-states-government-and-politics-overlay,assessment_unit:apusgov-interactions-among-branches-and-institutions,Directed,HAS_ASSESSMENT_UNIT,1,social_studies,assessment_overlay,partially_covered,assessment_unit,,,,
assessment_unit:apusgov-interactions-among-branches-and-institutions,capability:C2,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apusgov-interactions-among-branches-and-institutions,capability:C4,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apusgov-interactions-among-branches-and-institutions,capability:C5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apusgov-interactions-among-branches-and-institutions,capability:C6,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
