:START_ID(CapabilityNode),:END_ID(CapabilityNode),:TYPE,domain,graph_id
W6,W5,DEPENDS_ON,mathematics,master_knowledge_graph
W6,W3,DEPENDS_ON,mathematics,master_knowledge_graph
W7,W5,DEPENDS_ON,mathematics,master_knowledge_graph
W7,W3,DEPENDS_ON,mathematics,master_knowledge_graph
W8,W4,DEPENDS_ON,mathematics,master_knowledge_graph
W8,W3,DEPENDS_ON,mathematics,master_knowledge_graph
W9,W2,DEPENDS_ON,mathematics,master_knowledge_graph
W9,W5,DEPENDS_ON,mathematics,master_knowledge_graph
W9,W3,DEPENDS_ON,mathematics,master_knowledge_graph
B1,A2,DEPENDS_ON,mathematics,master_knowledge_graph
B1,K1,DEPENDS_ON,mathematics,master_knowledge_graph
B1,T6,DEPENDS_ON,mathematics,master_knowledge_graph
B2,B1,DEPENDS_ON,mathematics,master_knowledge_graph
B2,J1,DEPENDS_ON,mathematics,master_knowledge_graph
B2,K1,DEPENDS_ON,mathematics,master_knowledge_graph
B3,B2,DEPENDS_ON,mathematics,master_knowledge_graph
B3,K1,DEPENDS_ON,mathematics,master_knowledge_graph
B4,H4,DEPENDS_ON,mathematics,master_knowledge_graph
B4,A4,DEPENDS_ON,mathematics,master_knowledge_graph
B4,K1,DEPENDS_ON,mathematics,master_knowledge_graph
B5,B3,DEPENDS_ON,mathematics,master_knowledge_graph
B5,B4,DEPENDS_ON,mathematics,master_knowledge_graph
B5,K2,DEPENDS_ON,mathematics,master_knowledge_graph
B6,B4,DEPENDS_ON,mathematics,master_knowledge_graph
B6,A2,DEPENDS_ON,mathematics,master_knowledge_graph
B6,K2,DEPENDS_ON,mathematics,master_knowledge_graph
B7,B1,DEPENDS_ON,mathematics,master_knowledge_graph
B7,B5,DEPENDS_ON,mathematics,master_knowledge_graph
B8,K7,DEPENDS_ON,mathematics,master_knowledge_graph
B8,B1,DEPENDS_ON,mathematics,master_knowledge_graph
B9,A4,DEPENDS_ON,mathematics,master_knowledge_graph
B9,H5,DEPENDS_ON,mathematics,master_knowledge_graph
B9,B1,DEPENDS_ON,mathematics,master_knowledge_graph
B10,A4,DEPENDS_ON,mathematics,master_knowledge_graph
B10,K1,DEPENDS_ON,mathematics,master_knowledge_graph
B10,B6,DEPENDS_ON,mathematics,master_knowledge_graph
AP1,W2,DEPENDS_ON,mathematics,master_knowledge_graph
AP1,W4,DEPENDS_ON,mathematics,master_knowledge_graph
AP1,W5,DEPENDS_ON,mathematics,master_knowledge_graph
AP1,W6,DEPENDS_ON,mathematics,master_knowledge_graph
AP1,W7,DEPENDS_ON,mathematics,master_knowledge_graph
AP1,W8,DEPENDS_ON,mathematics,master_knowledge_graph
AP1,W9,DEPENDS_ON,mathematics,master_knowledge_graph
AP2,B5,DEPENDS_ON,mathematics,master_knowledge_graph
AP2,B6,DEPENDS_ON,mathematics,master_knowledge_graph
AP2,B9,DEPENDS_ON,mathematics,master_knowledge_graph
AP2,B10,DEPENDS_ON,mathematics,master_knowledge_graph
AP3,B5,DEPENDS_ON,mathematics,master_knowledge_graph
AP3,K2,DEPENDS_ON,mathematics,master_knowledge_graph
AP4,AP3,DEPENDS_ON,mathematics,master_knowledge_graph
AP5,AP4,DEPENDS_ON,mathematics,master_knowledge_graph
AP6,AP4,DEPENDS_ON,mathematics,master_knowledge_graph
AP6,Q2,DEPENDS_ON,mathematics,master_knowledge_graph
AP7,AP6,DEPENDS_ON,mathematics,master_knowledge_graph
AP7,AP5,DEPENDS_ON,mathematics,master_knowledge_graph
AP8,AP4,DEPENDS_ON,mathematics,master_knowledge_graph
AP8,AP6,DEPENDS_ON,mathematics,master_knowledge_graph
AP9,AP6,DEPENDS_ON,mathematics,master_knowledge_graph
AP9,B7,DEPENDS_ON,mathematics,master_knowledge_graph
