:START_ID(Entity),:END_ID(Entity),:TYPE,domain,source_layer,mapping_status,relationship_type,artifact_type,purpose,decision_type,rule_id
capability:E2A,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E2B,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E2B,capability:E2A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E2A,capability:E2B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E2C,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E2C,capability:E2B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E2B,capability:E2C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E3,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E3,capability:E2,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E2,capability:E3,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E3,capability:Q3,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q3,capability:E3,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E3A,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E3B,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E3B,capability:E3A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E3A,capability:E3B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E3C,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E3C,capability:E3B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E3B,capability:E3C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E4,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E4,capability:E3,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E3,capability:E4,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E4,capability:C2,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:C2,capability:E4,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E4,capability:Q4,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q4,capability:E4,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E4A,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E4B,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E4B,capability:E4A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E4A,capability:E4B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E4C,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E4C,capability:E4B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E4B,capability:E4C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E5,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E5,capability:E4,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E4,capability:E5,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E5,capability:G4,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G4,capability:E5,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E5,capability:Q5,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q5,capability:E5,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E5A,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E5B,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E5B,capability:E5A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E5A,capability:E5B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E5C,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E5C,capability:E5B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E5B,capability:E5C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E6,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
